Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry ,Instrument
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A,2,INE158A01026,2/3 Wheelers,Equity
500240,"Kinetic Engineering Ltd.,",KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10,INE266B01017,2/3 Wheelers,Equity
500267,"Majestic Auto Ltd.,",MAJESAUT,MAJESTIC AUTO LTD.-$,Active,XT,10,INE201B01022,2/3 Wheelers,Equity
505141,"Scooters India Ltd.,",SCOOTER,SCOOTERS INDIA LTD.,Active,T,10,INE959E01011,2/3 Wheelers,Equity
505200,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A,1,INE066A01021,2/3 Wheelers,Equity
531035,Justride Enterprises Limited,JRELTD,Justride Enterprises Ltd,Active,P,10,INE432F01024,2/3 Wheelers,Equity
531795,Atul Auto Limited,ATULAUTO,ATUL AUTO LTD.-$,Active,B,5,INE951D01028,2/3 Wheelers,Equity
532343,TVS Motor Company Ltd.,TVSMOTOR,TVS MOTOR COMPANY LTD.,Active,A,1,INE494B01023,2/3 Wheelers,Equity
532977,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A,10,INE917I01010,2/3 Wheelers,Equity
538970,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,WARDINMOBI,Wardwizard Innovations & Mobility Ltd,Active,B,1,INE945P01024,2/3 Wheelers,Equity
509077,Pressman Advertising Limited,PRESSMN,Pressman Advertising Limited,Active,B,2,INE980A01023,Advertising & Media,Equity
526441,Vision Cinemas Limited,VISIONCINE,VISION CINEMAS LTD.,Active,XT,1,INE515B01025,Advertising & Media,Equity
531259,Esha Media Research Limited,ESHAMEDIA,Esha Media Research Limited,Active,XT,10,INE328F01016,Advertising & Media,Equity
531637,PRAVEG COMMUNICATIONS (INDIA) LIMITED,PRAVEG,Praveg Communications (India) Ltd,Active,X,10,INE722B01019,Advertising & Media,Equity
532798,Network 18 Media & Investments Limited,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LTD.,Active,A,5,INE870H01013,Advertising & Media,Equity
539310,THINKINK PICTUREZ LIMITED,THINKINK,Thinkink Picturez Ltd,Active,X,5,INE365S01037,Advertising & Media,Equity
540789,Diligent Media Corporation Limited,DNAMEDIA,Diligent Media Corporation Ltd,Active,B,1,INE016M01021,Advertising & Media,Equity
541799,Sungold Media and Entertainment Limited,SMEL,Sungold Media and Entertainment Ltd,Active,M,10,INE266S01011,Advertising & Media,Equity
543341,SHARPLINE BROADCAST LIMITED,SHARPLINE,Sharpline Broadcast Ltd,Active,XT,10,INE647W01014,Advertising & Media,Equity
522229,Taneja Aerospace & Aviation Ltd.,TANAA,TANEJA AEROSPACE & AVIATION LTD.-$,Active,X,5,INE692C01020,Aerospace,Equity
541154,Hindustan Aeronautics Limited,HAL,Hindustan Aeronautics Ltd,Active,A,10,INE066F01012,Aerospace,Equity
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,A,1,INE613A01020,Agrochemicals,Equity
503776,"Modipon Ltd.,",MODIPON,MODIPON LTD.,Active,X,10,INE170C01019,Agrochemicals,Equity
506285,Bayer CropScience Limited.,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A,10,INE462A01022,Agrochemicals,Equity
506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B,10,INE277B01014,Agrochemicals,Equity
507717,Dhanuka Agritech Ltd.,DHANUKA,DHANUKA AGRITECH LTD.,Active,A,2,INE435G01025,Agrochemicals,Equity
512070,UPL Limited,UPL,UPL Limited,Active,A,2,INE628A01036,Agrochemicals,Equity
523642,PI Industries Limited,PIIND,PI Industries Ltd,Active,A,1,INE603J01030,Agrochemicals,Equity
524288,"Aimco Pesticides Ltd.,",AIMCOPEST,AIMCO PESTICIDES LTD.,Active,X,10,INE008B01013,Agrochemicals,Equity
524534,Bhaskar Agrochemicals Ltd.,BHASKAGR,BHASKAR AGROCHEMICALS LTD.,Active,XT,10,INE972C01018,Agrochemicals,Equity
524709,NACL Industries Limited,NACLIND,NACL Industries Ltd,Active,B,1,INE295D01020,Agrochemicals,Equity
524808,Phyto Chem (India) Ltd.,PHYTO,PHYTO CHEM (INDIA) LTD.,Active,X,10,INE037C01010,Agrochemicals,Equity
526711,Adarsh Plant Project Ltd.,ADARSHPL,ADARSH PLANT PROTECT LTD.,Active,X,10,INE627D01016,Agrochemicals,Equity
530883,Super Crop Safe Ltd.,SUCROSA,SUPER CROP SAFE LTD.,Active,X,2,INE366G01022,Agrochemicals,Equity
531719,Bhagiradha Chemicals and Industries,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LTD.,Active,X,10,INE414D01019,Agrochemicals,Equity
532067,Kilpest India Ltd.,KILPEST,KILPEST INDIA LTD.,Active,X,10,INE994E01018,Agrochemicals,Equity
532851,Insecticides India Ltd.,INSECTICID,INSECTICIDES (INDIA) LTD.,Active,A,10,INE070I01018,Agrochemicals,Equity
