,timestamp,open,high,low,close,volume
4167,2005-01-03,109.9998,111.1,109.0,110.8998,306495
4166,2005-01-04,109.9998,112.9998,109.15,111.75,635491
4165,2005-01-05,111.0,111.4998,105.1998,107.25,334245
4164,2005-01-06,105.6,108.9,105.55,106.9998,171195
4163,2005-01-07,108.0,108.85,105.25,106.2498,77985
4162,2005-01-10,109.0,111.0,106.0,106.2498,65100
4161,2005-01-11,106.9998,108.3,103.0,103.8498,92235
4160,2005-01-12,102.0,105.0,96.4998,96.9498,130740
4159,2005-01-13,97.9998,102.4998,97.9998,100.8498,105465
4158,2005-01-14,103.0,103.0,97.9998,98.1498,66420
4157,2005-01-17,100.0,100.0,95.05,97.75,92220
4156,2005-01-18,97.0,100.0,94.9998,95.8998,62370
4155,2005-01-19,98.8998,99.0,96.0,96.9498,61395
4154,2005-01-20,94.9998,96.0,92.7498,93.1,117840
4153,2005-01-24,94.6998,94.9998,93.1998,94.65,45885
4152,2005-01-25,99.0,99.0,93.1,96.1,66765
4151,2005-01-27,96.0,98.7498,94.9998,98.1498,54765
4150,2005-01-28,100.0,100.9998,98.1498,99.7,119355
4149,2005-01-31,100.9998,103.0,95.1,96.85,283110
4148,2005-02-01,99.0,99.0,96.55,97.2498,113700
4147,2005-02-02,97.9998,105.0,97.9998,102.4998,273285
4146,2005-02-03,102.0,104.5,101.5,102.75,154920
4145,2005-02-04,103.0,103.0,99.1,100.3998,91335
4144,2005-02-07,100.0,100.9998,99.0,99.3,115230
4143,2005-02-08,99.0,100.0,97.9998,98.8,90045
4142,2005-02-09,100.8498,100.8498,97.9998,98.05,190290
4141,2005-02-10,100.2498,100.2498,96.1,96.45,211080
4140,2005-02-11,99.0,99.0,96.0498,96.1,208110
4139,2005-02-14,95.55,97.9998,95.5,96.75,116445
4138,2005-02-15,96.4998,96.4998,95.25,95.55,94725
4137,2005-02-16,92.7,95.95,92.7,94.2498,117750
4136,2005-02-17,93.7,93.7,91.9998,92.95,90195
4135,2005-02-18,97.8,97.8,92.25,92.5,161175
4134,2005-02-21,94.0,94.0,92.4498,92.55,219360
4133,2005-02-22,92.25,92.95,92.25,92.85,178680
4132,2005-02-23,92.25,94.3998,92.1,93.0,183300
4131,2005-02-24,94.9998,94.9998,91.9998,92.7,166755
4130,2005-02-25,93.0,93.55,90.1,90.55,72855
4129,2005-02-28,96.0,102.25,91.5,98.7,470385
4128,2005-03-01,102.7998,102.7998,96.1,96.9,182460
4127,2005-03-02,102.0,102.0,96.6498,97.8498,167925
4126,2005-03-03,97.9998,101.8,97.9998,100.2498,175950
4125,2005-03-04,100.9,101.35,98.7498,99.45,100125
4124,2005-03-07,100.5,103.9,100.15,102.6498,370605
4123,2005-03-08,105.3,106.0,101.25,102.9,287925
4122,2005-03-09,101.5,103.6998,96.45,98.1,183555
4121,2005-03-10,98.1,100.15,97.5498,99.25,120975
4120,2005-03-11,100.9,101.65,97.9998,98.65,70785
4119,2005-03-14,97.9998,100.5,97.9998,100.0,97515
4118,2005-03-15,100.5,100.5,97.0,98.8998,46125
4117,2005-03-16,98.4,99.75,97.5,97.9998,105960
4116,2005-03-17,99.45,99.7,95.5998,95.8998,58290
4115,2005-03-18,96.0498,97.0,92.4498,96.6498,106605
4114,2005-03-21,114.7998,114.7998,95.4,96.4,345795
4113,2005-03-22,98.7498,98.7498,93.9498,93.9498,107115
4112,2005-03-23,94.2,94.8,92.5,93.75,42720
4111,2005-03-24,93.4998,95.5,90.1,90.6,98430
4110,2005-03-28,76.0,93.0,76.0,90.25,302325
4109,2005-03-29,90.0,90.0,82.5,86.7498,119625
4108,2005-03-30,88.5,91.9998,88.5,91.2,99030
4107,2005-03-31,89.85,94.0,89.85,92.65,431955
4106,2005-04-01,91.9998,94.8,91.9998,94.0998,62655
4105,2005-04-04,93.0,95.8998,93.0,95.2,88695
4104,2005-04-05,97.75,101.95,97.0,98.1,134310
4103,2005-04-06,102.9498,105.0,98.8,103.9998,260625
4102,2005-04-07,105.9498,105.9498,101.7,103.05,150390
4101,2005-04-08,105.0,105.0,101.05,102.0,152640
4100,2005-04-11,100.3998,100.9998,96.25,96.9,117000
4099,2005-04-12,98.5,100.0,97.15,99.45,74745
4098,2005-04-13,101.4,109.0,100.9,105.3498,1589296
4097,2005-04-15,105.1998,106.9,101.5,101.7498,772336
4096,2005-04-18,100.0998,103.0,98.5,101.1498,299040
4095,2005-04-19,102.9498,105.0,99.0,99.4,426660
4094,2005-04-20,100.75,101.05,97.5,100.0,242220
4093,2005-04-21,99.0,103.5,99.0,102.9498,218805
4092,2005-04-22,103.9998,105.4998,102.6,104.5,520395
4091,2005-04-25,105.7,111.1998,104.8998,107.05,1041916
4090,2005-04-26,108.3,108.3498,105.0,105.7,485535
4089,2005-04-27,106.0,113.8998,105.0,109.75,2046497
4088,2005-04-28,110.7,117.4,110.7,114.3,2391917
4087,2005-04-29,114.9,114.9498,106.3,106.95,1072996
4086,2005-05-02,107.5,108.9,104.5998,106.75,458970
4085,2005-05-03,106.9998,107.5998,104.7,105.25,225135
4084,2005-05-04,106.9,111.45,106.0,108.25,701206
4083,2005-05-05,109.9998,115.0,109.05,110.85,988186
4082,2005-05-06,111.1998,115.0,109.0,111.6,927691
4081,2005-05-09,112.0,118.65,112.0,114.85,859636
4080,2005-05-10,115.0,120.7998,114.0,118.65,1907447
4079,2005-05-11,119.5998,129.4998,118.2,127.3998,6217146
4078,2005-05-12,127.35,128.5,121.9998,123.4998,1558321
4077,2005-05-13,124.0998,126.7998,122.8998,123.6498,1260376
4076,2005-05-16,124.9998,127.5,122.25,123.3,649321
4075,2005-05-17,124.9998,124.9998,115.5,116.4,634771
4074,2005-05-18,117.4998,120.7998,113.35,117.25,325545
4073,2005-05-19,120.0,121.9998,118.5,119.5,491505
4072,2005-05-20,120.9498,121.0,118.0998,118.9,263400
4071,2005-05-23,120.0498,123.25,119.25,122.2998,476790
4070,2005-05-24,124.0,124.9998,118.5498,119.5,316035
4069,2005-05-25,120.0,121.3,117.4998,118.3998,174495
4068,2005-05-26,118.9998,119.5998,115.8,116.4498,172050
4067,2005-05-27,116.4498,120.7998,115.0998,115.65,273150
4066,2005-05-30,116.2998,117.7998,112.9998,114.1998,283740
4065,2005-05-31,115.0,117.4998,113.7498,114.55,270735
4064,2005-06-01,116.2998,116.8998,115.45,116.25,184455
4063,2005-06-02,116.5,116.85,114.4998,114.9498,222495
4062,2005-06-03,115.9,118.75,114.0498,116.5998,279045
4061,2005-06-06,118.9,126.0,118.9,121.0998,686806
4060,2005-06-07,122.8,132.0,122.8,129.55,2397932
4059,2005-06-08,129.85,134.8998,129.4998,130.15,1994372
4058,2005-06-09,131.2,131.4,125.55,126.0,683161
4057,2005-06-10,127.45,131.5,126.0,127.35,651346
4056,2005-06-13,131.8998,134.7,129.1998,132.7998,1417786
4055,2005-06-14,133.35,139.0,130.3,131.35,2443667
4054,2005-06-15,136.9998,136.9998,127.15,128.65,678301
4053,2005-06-16,130.0,130.0,124.9998,126.25,300375
4052,2005-06-17,123.0,127.8498,123.0,126.9,459825
4051,2005-06-20,127.95,127.95,124.9998,125.35,164415
4050,2005-06-21,127.8498,127.8498,122.5,124.9998,444450
4049,2005-06-22,127.5,130.3998,124.9998,125.1,565711
4048,2005-06-23,125.65,150.1,125.5,150.1,22249956
4047,2005-06-24,152.7,174.8998,148.0998,163.3498,47708070
4046,2005-06-27,162.7,162.7,151.0998,152.65,9572769
4045,2005-06-28,151.8,164.8998,148.05,149.95,20082064
4044,2005-06-29,151.0,153.0,145.9998,147.25,5551655
4043,2005-06-30,148.6998,150.1998,144.25,145.0998,1485421
4042,2005-07-01,144.0,144.45,135.1,138.45,923356
4041,2005-07-04,137.1,142.2498,137.1,140.7,339255
4040,2005-07-05,142.0,142.0,135.0,135.75,287040
4039,2005-07-06,135.1,138.85,135.0,135.45,364410
4038,2005-07-07,137.7498,137.7498,132.0,132.55,433080
4037,2005-07-08,136.3998,136.95,130.8,132.25,305415
4036,2005-07-11,133.9,135.0,131.1,133.95,334290
4035,2005-07-12,135.45,141.0,133.9998,137.05,367200
4034,2005-07-13,139.6998,141.0,135.0,135.7998,219510
4033,2005-07-14,134.5,138.9498,134.5,136.75,162780
4032,2005-07-15,139.0,139.6998,135.0,136.45,159300
4031,2005-07-18,138.0,140.8,136.9998,139.45,255720
4030,2005-07-19,143.7,143.7,136.15,137.5998,229350
4029,2005-07-20,141.0,141.7998,137.7498,138.45,225705
4028,2005-07-21,138.0498,139.0,135.0,136.2,169470
4027,2005-07-22,136.0,136.9998,134.5,136.0,86370
4026,2005-07-25,136.9998,139.5,136.0998,138.25,278265
