,timestamp,open,high,low,close,volume
324,2020-12-14,115.35,138.4,108.4,138.4,19154768
323,2020-12-15,148.6,166.05,145.0,166.05,10859160
322,2020-12-16,184.0,199.25,178.7,199.25,5760271
321,2020-12-17,219.15,219.15,179.35,179.35,15181680
320,2020-12-18,161.45,161.45,161.45,161.45,202334
319,2020-12-21,148.0,175.0,145.35,158.2,14610180
318,2020-12-22,164.5,174.0,155.45,173.45,3061018
317,2020-12-23,179.0,190.75,177.1,189.65,3616377
316,2020-12-24,192.0,196.4,177.8,180.9,4107991
315,2020-12-28,181.4,185.9,175.8,178.45,1413357
314,2020-12-29,180.0,180.9,170.05,173.0,1407536
313,2020-12-30,173.25,181.5,168.5,175.55,1580925
312,2020-12-31,178.8,178.8,174.3,175.45,327546
311,2021-01-01,176.0,176.95,173.1,173.3,198000
310,2021-01-04,174.2,175.0,170.1,171.05,359138
309,2021-01-05,170.95,174.5,166.15,170.15,583728
308,2021-01-06,170.2,172.0,167.0,168.2,232470
307,2021-01-07,169.5,169.9,165.0,165.25,565002
306,2021-01-08,165.5,169.75,163.85,166.8,630680
305,2021-01-11,165.9,165.9,150.15,150.15,1405270
304,2021-01-12,140.0,154.8,140.0,148.05,2266533
303,2021-01-13,150.0,152.85,143.65,145.0,1140813
302,2021-01-14,144.05,147.4,143.85,144.85,534757
301,2021-01-15,146.0,148.65,142.1,143.8,807224
300,2021-01-18,145.9,145.9,140.0,141.55,196495
299,2021-01-19,143.35,146.35,142.3,144.75,162135
298,2021-01-20,146.5,146.9,144.25,145.15,406664
297,2021-01-21,145.15,145.9,140.7,141.6,495582
296,2021-01-22,142.4,142.4,137.2,138.8,196328
295,2021-01-25,139.95,140.2,128.0,135.2,869948
294,2021-01-27,135.2,143.5,132.55,139.95,303141
293,2021-01-28,138.8,141.85,136.5,139.05,137551
292,2021-01-29,139.5,142.5,135.65,137.55,327692
291,2021-02-01,138.0,139.05,135.25,137.0,107480
290,2021-02-02,138.0,142.2,137.0,138.95,517264
289,2021-02-03,138.0,147.35,138.0,141.95,649785
288,2021-02-04,143.4,150.35,141.7,147.9,947347
287,2021-02-05,153.0,153.9,144.75,145.95,378382
286,2021-02-08,148.0,152.4,147.6,150.7,184672
285,2021-02-09,152.3,157.5,151.7,153.95,494006
284,2021-02-10,148.7,154.3,146.05,152.4,869126
283,2021-02-11,152.5,152.6,149.35,151.0,99272
282,2021-02-12,152.7,152.7,148.1,149.5,117210
281,2021-02-15,150.0,150.8,145.6,145.9,131512
280,2021-02-16,147.6,147.6,143.05,143.85,106098
279,2021-02-17,143.1,144.4,141.15,143.0,99231
278,2021-02-18,144.9,147.9,143.35,144.45,186080
277,2021-02-19,143.05,146.8,142.0,143.2,86516
276,2021-02-22,145.0,145.0,138.55,141.2,112001
275,2021-02-23,141.55,144.1,140.3,141.55,60422
274,2021-02-24,141.7,144.75,141.55,142.2,427705
273,2021-02-25,142.5,146.25,142.5,144.2,297573
272,2021-02-26,144.0,144.0,140.05,141.55,153905
271,2021-03-01,141.55,143.2,138.0,141.45,246807
270,2021-03-02,141.6,144.1,140.6,141.2,233206
269,2021-03-03,141.0,153.45,141.0,147.8,1136019
268,2021-03-04,145.0,152.35,144.7,148.25,468728
267,2021-03-05,146.0,149.35,142.9,143.7,349551
266,2021-03-08,146.75,147.2,143.15,143.45,131992
265,2021-03-09,145.6,145.6,139.65,140.05,109779
264,2021-03-10,140.85,141.8,139.6,140.2,153074
263,2021-03-12,140.3,142.8,140.25,141.0,267180
262,2021-03-15,141.0,141.2,137.2,138.25,124468
261,2021-03-16,138.1,140.7,137.35,138.15,215654
260,2021-03-17,139.7,139.7,135.5,136.15,84686
259,2021-03-18,136.55,138.2,133.0,137.05,311642
258,2021-03-19,133.35,137.9,130.45,136.45,371617
257,2021-03-22,132.5,139.75,132.5,137.45,237674
256,2021-03-23,139.0,140.15,136.65,137.75,255089
255,2021-03-24,138.2,139.95,134.55,135.1,268224
254,2021-03-25,136.9,137.0,134.0,135.7,184207
253,2021-03-26,136.5,136.75,129.4,129.9,358304
252,2021-03-30,129.9,132.45,129.9,130.7,159513
251,2021-03-31,131.9,131.9,127.0,129.1,96723
250,2021-04-01,129.7,132.3,129.15,131.05,203627
249,2021-04-05,131.0,131.0,126.35,127.4,141154
248,2021-04-06,130.35,132.6,128.95,131.0,293276
247,2021-04-07,130.5,133.4,129.45,131.95,210929
246,2021-04-08,134.15,140.75,134.1,137.6,206782
245,2021-04-09,137.5,140.7,135.9,138.8,215798
244,2021-04-12,138.8,138.8,130.65,132.55,140797
243,2021-04-13,132.35,134.25,131.3,132.3,59591
242,2021-04-15,130.0,131.85,128.75,130.05,147044
241,2021-04-16,132.4,132.4,130.0,131.25,48574
240,2021-04-19,129.5,129.5,126.95,128.15,65481
239,2021-04-20,128.9,131.05,128.7,130.75,300522
238,2021-04-22,130.4,134.25,129.05,132.4,650912
237,2021-04-23,130.55,133.1,130.05,130.6,337162
236,2021-04-26,130.0,132.0,129.7,130.25,229875
235,2021-04-27,131.05,132.75,129.4,131.15,763181
234,2021-04-28,131.95,133.45,131.25,131.8,279191
233,2021-04-29,131.75,132.95,130.95,131.25,221750
232,2021-04-30,130.0,131.95,129.15,129.85,338486
231,2021-05-03,130.0,130.7,128.6,129.3,318351
230,2021-05-04,130.0,130.3,127.05,128.95,356668
229,2021-05-05,130.0,130.0,126.15,126.8,265322
228,2021-05-06,127.1,134.75,126.7,130.9,554297
227,2021-05-07,130.1,132.4,129.05,129.4,808084
226,2021-05-10,130.0,130.85,128.1,128.65,618828
225,2021-05-11,128.0,130.5,126.85,129.0,662386
224,2021-05-12,130.4,133.0,129.65,130.15,535308
223,2021-05-14,130.35,131.65,129.1,130.1,395400
222,2021-05-17,130.35,131.75,130.2,130.45,212208
221,2021-05-18,130.0,146.65,130.0,142.6,871262
220,2021-05-19,143.0,147.35,138.75,140.05,381037
219,2021-05-20,142.8,145.9,139.2,144.8,341611
218,2021-05-21,146.0,148.5,144.25,145.2,212886
217,2021-05-24,146.95,151.55,142.3,148.4,474573
216,2021-05-25,150.15,155.55,148.35,152.9,1322528
215,2021-05-26,153.6,159.3,153.6,156.35,697948
214,2021-05-27,152.1,154.0,145.05,152.05,1014601
213,2021-05-28,153.95,153.95,146.35,146.9,242519
212,2021-05-31,148.7,148.7,144.75,145.65,180470
211,2021-06-01,147.15,150.8,146.1,147.15,356916
210,2021-06-02,147.95,149.95,144.5,149.45,237545
209,2021-06-03,151.95,151.95,149.5,149.8,161311
208,2021-06-04,149.85,157.7,149.85,156.55,1057294
207,2021-06-07,158.9,167.0,158.7,164.95,637785
206,2021-06-08,165.95,166.5,160.2,160.8,355528
205,2021-06-09,161.5,163.75,155.3,157.45,710726
204,2021-06-10,159.0,160.85,158.0,159.6,290458
203,2021-06-11,160.95,165.3,158.7,160.9,617376
202,2021-06-14,161.2,164.55,155.5,161.25,240015
201,2021-06-15,162.8,164.95,160.55,162.55,254393
200,2021-06-16,163.5,165.5,160.45,161.6,534220
199,2021-06-17,161.5,163.55,158.3,159.05,278427
198,2021-06-18,160.0,160.45,151.3,155.45,530005
197,2021-06-21,153.85,160.4,149.0,157.9,310194
196,2021-06-22,159.7,160.65,156.2,156.7,174652
195,2021-06-23,158.0,158.65,155.0,155.35,248697
194,2021-06-24,156.8,156.8,153.3,154.25,70317
193,2021-06-25,155.15,157.0,154.15,154.85,102694
192,2021-06-28,155.0,157.05,154.65,155.5,144162
