,timestamp,open,high,low,close,volume
189,2021-03-10,128.75,135.15,128.75,135.15,16
188,2021-03-12,141.9,141.9,141.9,141.9,3
187,2021-03-15,148.95,148.95,148.95,148.95,10
186,2021-03-16,156.35,156.35,156.35,156.35,1
185,2021-03-17,164.15,164.15,164.15,164.15,13
184,2021-03-19,172.35,172.35,172.35,172.35,5
183,2021-03-22,180.95,180.95,180.95,180.95,20
182,2021-03-23,189.95,189.95,189.95,189.95,4
181,2021-03-24,199.4,199.4,199.4,199.4,1
180,2021-03-25,219.3,219.3,219.3,219.3,14
179,2021-03-26,241.2,241.2,241.2,241.2,5
178,2021-03-30,265.3,265.3,265.3,265.3,1
177,2021-03-31,278.55,278.55,260.0,278.55,7000
176,2021-04-01,292.45,292.45,292.45,292.45,233
175,2021-04-05,307.05,307.05,307.05,307.05,8
174,2021-04-06,322.4,322.4,322.4,322.4,1
173,2021-04-07,338.5,338.5,338.5,338.5,12
172,2021-04-08,355.4,355.4,321.6,321.6,3831
171,2021-04-09,305.55,305.55,305.55,305.55,276
170,2021-04-12,290.3,290.3,290.3,290.3,380
169,2021-04-13,275.8,304.8,275.8,304.8,7500
168,2021-04-15,317.95,320.0,289.6,300.05,7331
167,2021-04-16,285.05,314.8,285.05,287.0,5278
166,2021-04-19,272.65,272.65,272.65,272.65,315
165,2021-04-20,259.05,259.05,259.05,259.05,406
164,2021-04-22,246.1,272.0,246.1,247.35,3777
163,2021-04-23,246.1,259.7,235.0,259.7,10776
162,2021-04-26,272.65,272.65,259.7,272.65,228
161,2021-04-27,286.25,286.25,282.6,286.25,1320
160,2021-04-28,300.55,300.55,285.05,289.3,11610
159,2021-04-29,275.5,303.0,274.85,274.85,1608
158,2021-04-30,261.15,261.15,261.15,261.15,149
157,2021-05-03,248.1,248.1,248.1,248.1,74
156,2021-05-04,236.05,250.0,235.7,235.7,617
155,2021-05-05,223.95,225.0,223.95,224.0,4234
154,2021-05-06,234.9,234.9,212.8,232.0,1928
153,2021-05-07,231.95,231.95,220.4,220.4,528
152,2021-05-10,220.0,228.0,210.0,226.55,8626
151,2021-05-11,230.95,237.85,216.0,237.85,2034
150,2021-05-12,240.05,249.7,240.05,249.7,1399
149,2021-05-14,262.1,262.15,240.0,262.15,2487
148,2021-05-17,274.95,275.25,264.0,275.25,850
147,2021-05-18,277.0,289.0,261.6,289.0,7364
146,2021-05-19,303.0,303.45,281.0,303.45,2634
145,2021-05-20,318.0,318.4,291.0,315.25,592
144,2021-05-21,303.55,330.0,299.55,304.25,1109
143,2021-05-24,289.15,317.7,289.1,311.3,1264
142,2021-05-25,324.9,324.9,295.75,300.5,568
141,2021-05-26,299.0,305.95,287.0,289.35,242
140,2021-05-27,300.0,303.5,281.0,281.0,346
139,2021-05-28,294.9,294.9,268.2,285.7,280
138,2021-05-31,271.7,298.8,271.7,285.0,199
137,2021-06-01,271.0,298.55,271.0,286.0,821
136,2021-06-02,293.75,294.0,280.0,293.0,214
135,2021-06-03,282.0,300.0,282.0,286.0,368
134,2021-06-04,291.0,293.0,280.0,290.7,266
133,2021-06-07,276.3,297.0,276.3,280.2,923
132,2021-06-08,270.0,292.25,267.0,275.45,547
131,2021-06-09,271.0,282.0,268.0,271.3,384
130,2021-06-10,262.0,279.8,262.0,276.0,126
129,2021-06-11,263.35,288.0,263.35,284.15,356
128,2021-06-14,272.15,288.95,270.5,279.95,954
127,2021-06-15,273.45,289.95,273.45,280.55,60
126,2021-06-16,285.0,286.85,270.05,281.35,158
125,2021-06-17,267.35,280.0,267.35,273.35,83
124,2021-06-18,273.35,287.0,273.35,285.4,123
123,2021-06-21,272.0,296.8,271.65,277.1,383
122,2021-06-22,277.1,290.0,272.15,290.0,164
