,timestamp,open,high,low,close,volume
429,2019-07-04,3.6,3.615,3.6,3.605,5250000
428,2019-07-05,3.6,3.6,3.425,3.425,2610000
427,2019-07-08,3.255,3.52,3.255,3.5,3660000
426,2019-07-09,3.4,3.525,3.4,3.5,810000
425,2019-07-10,3.35,3.55,3.35,3.515,420000
424,2019-07-11,3.4,3.69,3.38,3.605,2040000
423,2019-07-12,3.65,3.785,3.65,3.785,180000
422,2019-07-15,3.825,3.97,3.6,3.95,480000
421,2019-07-16,3.9,3.9,3.9,3.9,30000
420,2019-07-17,3.95,4.025,3.705,3.71,270000
419,2019-07-18,3.75,4.1,3.75,3.875,540000
418,2019-07-19,3.855,4.02,3.85,4.02,570000
417,2019-07-22,3.9,3.9,3.9,3.9,150000
416,2019-07-23,4.12,4.12,3.8,3.8,270000
415,2019-07-24,3.8,4.3,3.8,4.07,1050000
414,2019-07-25,4.3,4.8,4.3,4.79,780000
413,2019-07-26,4.6,4.65,4.5,4.55,750000
412,2019-07-29,4.8,4.8,4.4,4.42,750000
411,2019-07-30,4.05,4.05,4.0,4.0,480000
410,2019-08-01,4.29,4.29,4.29,4.29,30000
409,2019-08-02,4.0,4.1,4.0,4.1,180000
408,2019-08-05,4.5,4.515,4.4,4.49,150000
407,2019-08-08,4.29,4.3,4.2,4.3,300000
406,2019-08-09,4.32,4.32,4.1,4.2,90000
405,2019-08-13,4.29,4.29,4.19,4.21,90000
404,2019-08-14,4.31,4.55,4.23,4.525,210000
403,2019-08-16,4.71,4.71,4.71,4.71,330000
402,2019-08-19,4.05,5.1,4.05,5.035,720000
401,2019-08-20,4.15,4.8,4.15,4.755,600000
400,2019-08-21,4.7,5.015,4.6,5.015,330000
399,2019-08-22,4.4,5.005,4.3,5.005,1170000
398,2019-08-23,5.41,5.505,5.0,5.505,390000
397,2019-08-26,5.4,5.4,5.4,5.4,30000
396,2019-08-28,5.2,5.455,5.2,5.4,210000
395,2019-08-29,5.0,5.6,5.0,5.505,450000
394,2019-08-30,5.48,5.6,5.48,5.6,120000
393,2019-09-05,5.0,5.0,5.0,5.0,30000
392,2019-09-06,5.3,5.3,5.1,5.1,300000
391,2019-09-09,5.1,5.825,4.5,4.505,180000
390,2019-09-11,4.995,4.995,4.995,4.995,30000
389,2019-09-12,5.8,5.8,4.25,5.08,420000
388,2019-09-13,5.395,5.64,4.065,4.28,240000
387,2019-09-16,4.1,4.85,4.1,4.85,120000
386,2019-09-17,5.19,5.19,4.2,4.22,270000
385,2019-09-18,4.485,4.585,4.485,4.585,60000
384,2019-09-19,4.645,4.745,4.645,4.745,60000
383,2019-09-20,5.025,5.025,5.025,5.025,30000
382,2019-09-25,5.2,5.2,4.02,4.095,540000
381,2019-09-26,4.38,4.38,3.9,4.07,1050000
380,2019-09-27,3.6,3.6,3.3,3.3,450000
379,2019-10-03,3.0,3.0,3.0,3.0,150000
378,2019-10-04,3.0,3.0,3.0,3.0,30000
377,2019-10-07,3.3,3.3,3.3,3.3,180000
376,2019-10-09,3.4,3.625,3.4,3.625,90000
375,2019-10-10,3.7,3.985,3.7,3.985,90000
374,2019-10-11,4.35,4.38,4.35,4.38,210000
373,2019-10-14,4.595,4.595,4.5,4.59,300000
372,2019-10-15,4.6,4.8,4.6,4.665,210000
371,2019-10-16,4.5,4.895,4.435,4.765,450000
370,2019-10-17,5.0,5.0,4.55,4.91,690000
369,2019-10-18,5.1,5.15,5.05,5.1,450000
368,2019-10-22,5.25,5.35,5.25,5.3,240000
367,2019-10-23,5.4,5.55,5.4,5.55,570000
366,2019-10-24,5.65,5.82,5.65,5.82,570000
365,2019-10-25,5.85,6.1,5.7,6.095,690000
364,2019-10-29,6.5,6.6,6.35,6.6,510000
363,2019-10-30,6.75,6.93,6.75,6.915,270000
362,2019-10-31,7.0,7.2,7.0,7.2,300000
361,2019-11-01,7.0,7.5,6.84,7.45,420000
360,2019-11-04,7.6,7.8,7.6,7.8,270000
359,2019-11-05,7.6,8.19,7.415,7.765,270000
358,2019-11-06,7.4,8.15,7.385,7.79,360000
357,2019-11-07,8.165,8.165,7.405,7.405,270000
356,2019-11-08,7.3,7.77,7.05,7.525,300000
355,2019-11-11,7.5,7.5,7.15,7.15,1140000
354,2019-11-13,6.795,6.795,6.795,6.795,600000
353,2019-11-14,6.46,6.46,6.46,6.46,30000
352,2019-11-15,6.14,6.14,6.14,6.14,30000
351,2019-11-18,5.835,5.835,5.835,5.835,120000
350,2019-11-19,5.545,5.545,5.545,5.545,30000
349,2019-11-20,5.27,5.27,5.27,5.27,150000
348,2019-11-21,5.01,5.53,5.01,5.335,360000
347,2019-11-22,5.1,5.6,5.08,5.08,360000
346,2019-11-25,5.2,5.33,4.85,4.85,420000
345,2019-11-26,4.9,5.09,4.69,4.69,360000
344,2019-11-27,4.7,4.7,4.5,4.5,210000
343,2019-11-28,4.4,4.4,4.3,4.3,150000
342,2019-12-03,4.25,4.385,4.25,4.385,180000
341,2019-12-04,4.4,4.42,4.4,4.42,90000
340,2019-12-05,4.5,4.5,4.45,4.49,300000
339,2019-12-06,4.55,4.55,4.5,4.5,150000
338,2019-12-16,4.45,4.45,4.45,4.45,90000
337,2019-12-18,4.515,4.525,4.515,4.525,210000
336,2019-12-19,4.47,4.515,4.47,4.515,240000
335,2019-12-20,4.5,4.52,4.5,4.52,150000
334,2019-12-24,4.5,4.5,4.475,4.475,150000
333,2019-12-26,4.515,4.52,4.42,4.425,270000
332,2019-12-27,4.45,4.51,4.45,4.48,330000
331,2019-12-30,4.44,4.44,4.4,4.42,210000
330,2020-01-01,4.335,4.335,4.335,4.335,30000
329,2020-01-02,4.4,4.4,4.4,4.4,30000
328,2020-02-10,4.4,4.44,4.4,4.43,240000
327,2020-02-11,4.45,4.475,4.35,4.4,390000
326,2020-02-12,4.405,4.445,4.395,4.43,330000
325,2020-02-13,4.475,4.505,4.45,4.465,420000
324,2020-02-14,4.47,4.52,4.47,4.515,450000
323,2020-02-17,4.505,4.535,4.495,4.53,450000
322,2020-02-18,4.495,4.54,4.495,4.53,570000
321,2020-02-19,4.5,4.54,4.5,4.54,600000
320,2020-02-20,4.55,4.575,4.535,4.575,600000
319,2020-02-24,4.5,4.57,4.5,4.555,600000
318,2020-02-25,4.56,4.645,4.56,4.645,660000
317,2020-02-26,4.6,4.65,4.6,4.63,600000
316,2020-02-27,4.635,4.655,4.59,4.615,600000
315,2020-02-28,4.6,4.64,4.59,4.63,600000
314,2020-03-02,4.625,4.665,4.62,4.66,600000
313,2020-03-03,4.665,4.705,4.65,4.68,600000
312,2020-03-04,4.7,4.77,4.69,4.715,630000
