,timestamp,open,high,low,close,volume
3654,2005-01-03,14.0,14.5,13.5,14.06,201371
3653,2005-01-04,14.4,14.5,13.6,14.31,184443
3652,2005-01-05,14.25,14.55,12.65,13.94,127745
3651,2005-01-06,13.75,14.25,13.1,13.55,79960
3650,2005-01-07,13.26,14.37,13.26,14.3,139404
3649,2005-01-10,14.6,15.0,14.01,14.47,186661
3648,2005-01-11,14.7,14.9,13.8,14.27,61117
3647,2005-01-12,14.41,15.5,12.8,13.17,230955
3646,2005-01-13,13.89,14.5,13.0,14.29,208934
3645,2005-01-14,14.65,14.65,13.0,13.19,181392
3644,2005-01-17,13.88,13.88,11.85,12.42,74700
3643,2005-01-18,13.35,13.4,12.51,12.61,28955
3642,2005-01-19,13.13,13.13,12.2,12.58,47769
3641,2005-01-20,14.29,14.49,12.25,12.64,57265
3640,2005-01-24,13.5,13.5,12.25,12.34,47934
3639,2005-01-25,13.5,13.5,12.07,12.73,57386
3638,2005-01-27,12.95,13.7,12.77,13.03,228776
3637,2005-01-28,13.05,13.7,13.03,13.1,207266
3636,2005-01-31,13.4,13.93,12.85,13.81,224693
3635,2005-02-01,15.98,15.98,12.73,12.87,400883
3634,2005-02-02,13.19,13.21,12.8,12.93,69391
3633,2005-02-03,13.14,13.49,13.02,13.38,56938
3632,2005-02-04,13.4,13.9,12.4,12.88,247525
3631,2005-02-07,13.1,13.1,12.56,12.98,28367
3630,2005-02-08,13.0,13.03,12.85,12.96,16720
3629,2005-02-09,13.0,13.0,12.78,12.81,16280
3628,2005-02-10,13.89,15.37,13.3,15.37,1832557
3627,2005-02-11,16.25,18.25,15.81,16.45,1558015
3626,2005-02-14,16.7,17.05,14.9,15.42,714477
3625,2005-02-15,15.75,16.0,13.9,14.19,307305
3624,2005-02-16,14.65,14.69,13.7,14.06,260727
3623,2005-02-17,13.95,14.9,13.6,13.8,102266
3622,2005-02-18,14.12,14.4,13.6,13.88,251896
3621,2005-02-21,13.0,15.5,13.0,14.02,207400
3620,2005-02-22,16.5,16.5,14.2,14.85,288834
3619,2005-02-23,15.24,15.5,14.51,14.88,264220
3618,2005-02-24,14.88,15.4,14.8,14.84,781616
3617,2005-02-25,15.55,15.55,14.6,14.77,454734
3616,2005-02-28,15.3,15.3,14.35,14.59,196986
3615,2005-03-01,14.95,14.95,13.84,13.99,188800
