,timestamp,open,high,low,close,volume
4165,2005-01-03,355.0,355.0,345.05,349.55,210120
4164,2005-01-04,351.0,352.3,345.05,347.8,339584
4163,2005-01-05,348.1,349.5,327.1,334.05,237496
4162,2005-01-06,333.0,334.0,319.0,322.0,908712
4161,2005-01-07,329.95,329.95,321.95,325.4,220256
4160,2005-01-10,330.0,330.0,309.05,312.15,1154568
4159,2005-01-11,312.0,326.1,302.05,312.45,1987928
4158,2005-01-12,316.9,322.95,308.0,312.45,1269008
4157,2005-01-13,318.9,318.9,313.0,314.35,511720
4156,2005-01-14,315.0,315.25,304.0,305.4,484456
4155,2005-01-17,310.0,310.0,295.0,302.05,905360
4154,2005-01-18,307.95,316.1,302.0,312.15,4285480
4153,2005-01-19,312.0,317.5,306.35,309.55,976416
4152,2005-01-20,313.0,317.1,306.15,314.8,1262392
4151,2005-01-24,317.0,323.0,316.0,320.75,622904
4150,2005-01-25,321.0,325.4,313.2,323.2,1433760
4149,2005-01-27,325.0,335.0,319.0,328.9,2464064
4148,2005-01-28,329.95,332.0,324.0,327.45,1860768
4147,2005-01-31,330.0,332.5,326.0,330.35,227640
4146,2005-02-01,331.0,334.0,325.0,333.05,2552392
4145,2005-02-02,336.0,342.4,334.0,337.85,832648
4144,2005-02-03,339.0,343.4,333.4,340.65,361952
4143,2005-02-04,333.2,350.0,333.2,347.35,1230136
4142,2005-02-07,349.0,350.25,338.7,339.95,447904
4141,2005-02-08,338.0,345.0,336.1,342.8,552872
4140,2005-02-09,349.9,350.0,343.0,344.4,430360
4139,2005-02-10,349.9,349.9,340.8,345.45,233600
4138,2005-02-11,347.1,352.9,345.5,350.6,3213856
4137,2005-02-14,354.0,361.0,352.0,358.45,1185848
4136,2005-02-15,360.0,360.0,348.5,350.75,5003840
4135,2005-02-16,350.1,354.7,347.0,350.0,913200
4134,2005-02-17,345.0,349.85,339.4,343.8,221328
4133,2005-02-18,345.0,347.0,342.1,343.25,170832
4132,2005-02-21,342.0,343.35,338.5,340.1,172248
4131,2005-02-22,341.0,341.0,334.6,336.0,513840
4130,2005-02-23,336.5,338.0,331.55,333.05,791976
4129,2005-02-24,335.0,335.45,324.4,326.8,4102520
4128,2005-02-25,330.0,335.0,325.0,329.1,314296
4127,2005-02-28,329.15,339.0,324.25,337.65,316376
4126,2005-03-01,340.0,340.0,328.25,329.8,170152
4125,2005-03-02,332.75,333.25,326.0,332.15,370320
4124,2005-03-03,331.0,338.0,331.0,336.05,106456
4123,2005-03-04,338.95,347.9,336.2,344.55,726160
4122,2005-03-07,349.9,351.9,342.25,349.85,1530720
4121,2005-03-08,348.25,359.0,347.1,356.2,582216
4120,2005-03-09,357.9,364.1,351.5,357.8,2813736
4119,2005-03-10,354.0,364.45,351.6,363.4,3595784
4118,2005-03-11,364.0,367.5,357.0,358.05,3973296
4117,2005-03-14,364.0,374.7,361.0,370.25,3833792
4116,2005-03-15,372.95,374.8,365.0,366.7,2383512
4115,2005-03-16,368.95,372.0,365.0,366.7,1956144
4114,2005-03-17,365.0,375.5,363.0,364.7,1016056
4113,2005-03-18,365.0,369.75,360.5,365.3,1673560
4112,2005-03-21,367.8,371.0,358.15,359.45,1861168
4111,2005-03-22,363.0,363.9,350.0,351.6,1284800
4110,2005-03-23,355.0,356.0,345.05,347.45,2607744
4109,2005-03-24,345.0,351.7,343.1,349.65,206608
4108,2005-03-28,345.0,356.75,345.0,352.75,642240
4107,2005-03-29,355.0,355.0,334.0,344.4,1801808
4106,2005-03-30,349.7,359.0,346.0,356.75,2288312
4105,2005-03-31,358.0,373.15,358.0,370.4,885392
4104,2005-04-01,370.0,390.0,369.0,385.55,1549408
4103,2005-04-04,388.9,388.9,374.35,378.3,2308480
4102,2005-04-05,380.0,384.9,374.05,382.1,1679600
