,timestamp,open,high,low,close,volume
4252,2005-01-03,12.0,12.65,12.0,12.45,466260
4251,2005-01-04,12.39,12.85,12.03,12.09,390400
4250,2005-01-05,11.51,12.15,11.05,11.41,549680
4249,2005-01-06,11.0,11.6,11.0,11.18,232790
4248,2005-01-07,11.04,11.86,11.04,11.17,180180
4247,2005-01-10,11.95,12.28,11.35,12.28,214540
4246,2005-01-11,13.05,13.5,12.0,12.11,518250
4245,2005-01-12,11.6,12.38,11.12,11.31,265520
4244,2005-01-13,12.0,12.0,11.14,11.45,108220
4243,2005-01-14,12.0,12.0,11.25,11.36,211650
4242,2005-01-17,11.25,11.5,10.82,11.04,85120
4241,2005-01-18,10.7,11.2,10.7,11.08,45000
4240,2005-01-19,10.05,11.49,10.05,11.06,56750
4239,2005-01-20,10.62,10.93,10.61,10.63,106590
4238,2005-01-24,9.76,11.25,9.76,10.61,77840
4237,2005-01-25,10.6,10.8,10.1,10.24,75280
4236,2005-01-27,10.02,10.7,10.02,10.63,90290
4235,2005-01-28,10.7,11.1,10.51,10.82,71270
4234,2005-01-31,10.5,10.95,10.5,10.81,123500
4233,2005-02-01,10.6,10.95,10.55,10.69,61500
4232,2005-02-02,10.51,10.8,10.51,10.58,62520
4231,2005-02-03,10.7,11.49,10.56,11.42,221970
4230,2005-02-04,10.75,11.24,10.56,10.86,140610
4229,2005-02-07,11.0,11.5,10.54,11.19,252450
4228,2005-02-08,10.76,11.36,10.76,11.19,147630
4227,2005-02-09,11.75,12.95,11.45,12.75,635870
4226,2005-02-10,12.5,13.45,12.5,12.96,669010
4225,2005-02-11,13.0,13.5,12.7,13.07,545790
4224,2005-02-14,13.99,14.25,13.11,13.65,1120670
4223,2005-02-15,13.5,13.85,12.95,12.97,565830
4222,2005-02-16,13.2,13.3,12.13,12.32,326500
4221,2005-02-17,10.55,12.89,10.53,12.46,339670
4220,2005-02-18,13.9,13.9,12.0,12.13,185640
4219,2005-02-21,12.75,12.75,11.8,11.96,360810
4218,2005-02-22,11.8,12.25,11.7,11.77,95680
