,timestamp,open,high,low,close,volume
2900,2005-01-25,28.0,28.0,28.0,28.0,200
2899,2005-01-27,27.0,27.0,27.0,27.0,100
2898,2005-01-28,28.35,28.35,26.0,26.05,402
2897,2005-01-31,27.0,27.0,25.0,25.0,300
2896,2005-02-10,25.1,25.1,23.8,23.8,200
2895,2005-02-11,23.0,23.0,23.0,23.0,100
2894,2005-02-14,21.9,21.9,21.9,21.9,100
2893,2005-02-15,21.0,21.0,21.0,21.0,500
2892,2005-02-16,20.0,20.0,20.0,20.0,300
2891,2005-02-21,20.25,20.25,20.25,20.25,50
2890,2005-02-24,20.5,20.5,20.5,20.5,200
2889,2005-02-25,20.0,20.0,19.5,19.5,600
2888,2005-03-01,20.0,20.0,20.0,20.0,100
2887,2005-03-02,20.0,20.0,20.0,20.0,100
2886,2005-03-03,20.5,20.5,19.05,19.05,2500
2885,2005-03-04,18.1,18.1,18.1,18.1,500
2884,2005-03-07,17.25,19.0,17.25,19.0,250
2883,2005-03-08,18.75,19.95,18.75,19.95,20700
2882,2005-03-09,20.9,20.9,20.9,20.9,100
2881,2005-03-10,21.45,21.45,21.45,21.45,100
2880,2005-03-11,22.4,22.5,22.4,22.5,3200
2879,2005-03-14,22.5,23.6,22.5,23.6,1100
2878,2005-03-15,24.7,24.7,23.6,24.7,350
2877,2005-03-17,23.5,23.5,23.5,23.5,60
2876,2005-03-18,22.9,23.0,22.9,23.0,600
2875,2005-03-21,22.8,22.8,22.8,22.8,200
2874,2005-03-22,23.8,23.8,23.8,23.8,100
2873,2005-03-28,24.5,24.5,24.5,24.5,50
2872,2005-04-01,25.35,25.4,25.35,25.4,300
2871,2005-04-15,24.8,24.8,23.65,23.65,205
2870,2005-04-28,24.75,24.75,24.75,24.75,5
2869,2005-05-05,25.0,25.0,24.75,24.75,10
2868,2005-05-12,22.3,22.3,22.3,22.3,500
2867,2005-05-13,20.1,23.0,20.1,21.5,503
2866,2005-05-16,23.65,23.65,19.4,19.4,3201
2865,2005-05-17,21.3,21.3,19.0,19.0,241
2864,2005-05-18,18.5,18.5,18.25,18.3,1000
2863,2005-05-19,18.05,20.05,18.0,18.4,2501
2862,2005-05-20,20.0,20.2,19.0,19.4,1400
2861,2005-05-23,21.3,21.3,19.5,19.5,820
2860,2005-05-24,21.45,21.45,21.25,21.25,200
2859,2005-05-25,23.25,23.25,21.0,21.95,3200
2858,2005-05-26,24.1,24.1,21.0,21.45,3701
2857,2005-05-27,23.55,23.55,19.6,19.85,1101
2856,2005-05-30,21.75,21.75,21.7,21.7,230
2855,2005-05-31,22.95,22.95,22.95,22.95,100
2854,2005-06-02,24.5,24.65,20.7,21.8,900
2853,2005-06-03,23.9,23.95,20.8,23.45,2345
2852,2005-06-06,21.15,25.35,21.15,21.7,2160
2851,2005-06-07,21.95,23.8,21.95,23.8,400
2850,2005-06-08,22.0,22.5,21.45,22.35,3850
2849,2005-06-10,24.2,24.2,22.95,24.05,650
2848,2005-06-13,24.0,24.0,21.65,22.8,3550
2847,2005-06-14,21.8,22.85,21.8,22.85,1050
2846,2005-06-15,22.95,23.65,22.95,23.15,2950
2845,2005-06-16,23.7,23.7,23.6,23.6,125
2844,2005-06-17,21.25,22.85,21.25,22.85,450
2843,2005-06-20,23.7,23.7,23.7,23.7,50
2842,2005-06-23,24.4,24.4,24.4,24.4,1600
2841,2005-06-27,24.85,24.85,24.85,24.85,100
2840,2005-06-28,22.5,22.5,22.5,22.5,650
2839,2005-06-30,20.35,20.35,20.35,20.35,3
2838,2005-07-04,22.25,22.25,19.0,22.25,1750
2837,2005-07-05,22.9,22.9,22.25,22.25,210
2836,2005-07-06,23.9,23.95,21.1,23.45,1200
2835,2005-07-07,21.95,21.95,21.15,21.15,550
2834,2005-07-08,22.25,23.25,22.25,23.25,9713
2833,2005-07-11,24.5,25.55,24.0,25.4,1950
2832,2005-07-12,23.0,25.3,23.0,24.35,500
2831,2005-07-13,23.05,25.4,21.95,25.4,300
2830,2005-07-14,21.9,24.8,20.85,20.9,1324
2829,2005-07-15,21.4,24.0,21.4,23.95,1210
2828,2005-07-18,25.1,28.7,25.1,28.7,10434
2827,2005-07-19,30.0,34.4,30.0,34.4,10700
2826,2005-07-20,39.8,41.25,32.55,40.1,10580
2825,2005-07-21,40.0,44.1,36.1,42.35,12850
2824,2005-07-22,44.0,44.5,40.0,42.0,4575
2823,2005-07-25,41.0,42.0,38.0,38.3,1550
2822,2005-07-26,40.0,42.1,40.0,42.1,2500
2821,2005-07-27,41.0,45.9,38.7,42.45,3436
2820,2005-07-29,45.9,45.9,38.4,39.1,4050
2819,2005-08-01,40.0,40.0,39.1,39.1,700
2818,2005-08-02,40.0,40.0,37.0,37.3,3050
2817,2005-08-03,40.85,40.9,39.0,39.0,700
2816,2005-08-04,40.0,42.75,39.0,41.0,13100
2815,2005-08-05,42.0,45.0,37.0,37.0,6578
2814,2005-08-08,38.1,39.85,38.1,39.85,256
2813,2005-08-09,38.05,38.05,38.0,38.0,800
2812,2005-08-10,38.0,38.0,35.1,38.0,1090
2811,2005-08-11,39.95,40.0,37.05,38.75,2153
2810,2005-08-12,39.0,39.0,39.0,39.0,100
2809,2005-08-16,38.95,39.0,38.95,38.95,200
2808,2005-08-17,40.75,41.0,39.0,39.1,1500
2807,2005-08-18,40.0,40.0,38.9,39.35,720
2806,2005-08-19,38.1,38.1,38.0,38.05,500
2805,2005-08-22,41.0,41.0,39.0,39.0,1600
2804,2005-08-24,40.0,40.0,35.45,35.5,3275
2803,2005-08-25,35.0,38.45,35.0,36.7,500
2802,2005-08-26,39.95,40.35,37.6,39.25,4708
2801,2005-08-29,42.9,43.0,39.55,39.7,3525
2800,2005-08-30,38.0,40.0,37.0,37.3,4884
2799,2005-08-31,38.85,38.85,38.85,38.85,600
2798,2005-09-01,35.0,39.6,35.0,37.9,800
2797,2005-09-02,36.0,37.9,36.0,37.9,200
2796,2005-09-05,38.0,40.0,38.0,38.75,1575
2795,2005-09-06,38.85,38.85,38.8,38.8,300
2794,2005-09-08,40.0,40.0,38.55,38.55,2290
2793,2005-09-09,38.5,39.95,38.5,38.8,300
2792,2005-09-12,40.75,40.75,37.2,40.75,300
2791,2005-09-13,39.95,42.0,39.95,40.65,1000
2790,2005-09-14,40.0,44.7,40.0,44.7,11450
2789,2005-09-15,44.7,49.15,41.5,49.15,13102
2788,2005-09-16,54.05,54.05,54.05,54.05,450
