,timestamp,open,high,low,close,volume,bb_upper,bb_middle,bb_lowerband,macd,macd_signal,macdhist,macd_useful,rsi,stochastic_k,stochastic_d,useful_stochastic,returns
4136,2005-02-21,399.5707,402.8973,397.1786,399.0474,5526893,402.9733037747864,400.2510199999999,397.52873622521344,2.6229763740760745,2.909107485457917,-0.28613111138184255,0.901642990913138,47.84783916884746,21.23009724515889,20.698813525246702,1.0256673513805115,0.009928895665026305
4135,2005-02-22,396.9542,404.4299,396.9542,403.4206,5948588,403.48645717483964,400.35567999999995,397.22490282516026,2.7295690519675304,2.8731997987598397,-0.14363074679230925,0.9500101779018971,52.354747033286245,37.62332339003368,25.58297806844871,1.4706389259831418,0.0055592104121604535
4134,2005-02-23,402.8599,411.0083,402.1872,409.7002,8273673,410.31633252478343,402.34417999999994,394.37202747521644,3.282912385905604,2.9551423161889927,0.32777006971661127,1.1109151555649306,57.97129766457029,61.92771420529923,40.26037828016391,1.538180137661814,-0.03713154155160292
4133,2005-02-24,411.1579,413.9987,407.7938,408.6535,24758001,412.96760765002074,404.07102,395.1744323499792,3.595533945134491,3.0832206419780923,0.5123133031563989,1.1661617388587915,56.770018340027825,76.61481860678164,58.7219520673715,1.304704900117791,-0.02323215144370472
4132,2005-02-25,411.1579,411.7186,402.3368,403.6076,6538574,412.6442892983559,404.88586,397.1274307016441,3.396968683047362,3.1459702501919464,0.25099843285541557,1.0797841088421294,51.25590160138618,66.25671411752447,68.26641564320177,0.9705609045569183,0.0014816371148611562
4131,2005-02-28,403.6823,418.5587,400.0193,415.6806,17095800,417.26115335925823,408.2125,399.1638466407417,4.165774034027038,3.3499310069589647,0.8158430270680732,1.243540247656828,61.01331086786439,64.78448049156236,69.21867107195614,0.9359393858373238,-0.027065732680332077
4130,2005-03-01,416.3908,417.1383,407.0837,408.7658,8714141,416.97451145148824,409.28154000000006,401.5885685485119,4.169033223153235,3.5137514501978186,0.6552817729554166,1.1864906446124768,54.30791097529434,57.63053550451835,62.89057670453505,0.9163620135854567,-0.011247516303956928
4129,2005-03-02,405.1774,412.2793,405.1774,410.2609,7191553,417.1240489489078,409.39368,401.66331105109225,4.243343605253187,3.6596698812088926,0.5836737240442949,1.1594880803433263,55.448009809165576,63.032829751678236,61.81594858258631,1.0196855535989418,0.0
4128,2005-03-03,411.1579,420.0164,411.1579,417.4747,8993442,421.11344345295544,411.15792,401.20239654704454,4.828666627066468,3.8934692303804077,0.9351973966860605,1.2401964267211347,60.56132268961816,63.236635975107355,61.30000041043464,1.0315927496199992,-0.008953117398491361
4127,2005-03-04,418.6334,428.5386,418.6334,427.5294,13061347,429.22258364917496,415.94228000000004,402.6619763508251,6.034309830742814,4.321637350452889,1.7126724802899247,1.3963017582006143,66.35717622710146,79.66444981648668,68.64463851442407,1.1605341879649793,-0.04913439871035763
4126,2005-03-07,429.0992,440.3874,428.3518,437.7336,9908633,442.2249493193456,420.35288,398.48081068065443,7.724145277147443,5.0021389357918,2.722006341355643,1.5441684799834074,71.01296606688963,92.07131246253509,78.32413275137635,1.1755165263660983,-0.07369139586268914
4125,2005-03-08,437.7336,443.3776,434.7061,441.4341,12225480,450.4610706493613,426.88653999999997,403.3120093506386,9.255262561058203,5.85276366084508,3.4024989002131223,1.5813491023011572,72.49928185939136,94.61220356309195,88.78265528070456,1.0656608913526644,-0.08721415042471803
4124,2005-03-09,444.798,449.1339,436.687,439.1167,12735447,450.57599430856067,432.6576999999999,414.7394056914392,10.164518979380773,6.715114724552219,3.449404254828554,1.513677635650308,70.07601098291406,86.99918490944886,91.22756697835861,0.9536501716645274,-0.08716407278520721
4123,2005-03-10,438.8176,446.4427,435.0798,444.0132,7947446,449.2400470795383,437.96539999999993,426.6907529204616,11.151668378586464,7.602425455359068,3.5492429232273963,1.466856655690781,72.19106767616059,83.91523765423672,88.50887537559248,0.9480996939362025,-0.09049573300973923
4122,2005-03-11,444.0506,449.2086,437.472,439.3034,10156352,444.706708065437,440.32019999999994,435.9336919345629,11.422280946299338,8.366396553547123,3.0558843927522155,1.365256938658568,67.26613402085785,69.78063901588038,80.23168719318862,0.8697391449323093,-0.10490927227059932
4121,2005-03-14,439.5651,444.0506,430.0338,432.426,7094704,446.9552032040663,439.2586799999999,431.5621567959335,10.955506394549616,8.884218521747622,2.071287872801994,1.233142382499001,60.74891999897508,49.39845956935513,67.69811207982404,0.7296874026724487,-0.08393135472890167
4120,2005-03-15,433.5847,436.5002,425.5857,426.5203,8498424,448.5101399930619,436.2759199999999,424.04170000693796,9.993840789679552,9.106142975334008,0.887697814345545,1.0974834039779597,55.75352719787249,22.980204772594632,47.38643445261002,0.4849532368926503,-0.08123739948602682
4119,2005-03-16,425.399,431.641,424.2402,428.7629,9701855,447.290430411334,434.20516,421.11988958866596,9.305406019030045,9.145995584073216,0.15941043495682905,1.0174295333396428,57.19302414898261,11.515258547432131,27.964640963127266,0.41177923802474553,-0.09266823225610243
4118,2005-03-17,429.0992,429.0992,417.5869,420.0911,9000282,442.1513658929177,429.42074,416.69011410708237,7.968222013318552,8.910440869922283,-0.9422188566037306,0.8942567634577717,50.369041709623616,9.996423849849117,14.830629056625261,0.6740390991967689,-0.05489809234235132
4117,2005-03-18,422.3712,428.6508,418.6334,427.3425,8801929,435.05977567842854,427.02856,418.9973443215715,7.408224037182038,8.609997503374235,-1.201773466192197,0.8604211597365475,55.184327319990224,20.965674260635048,14.159118885972065,1.4807188518917287,-0.07207169893001508
4116,2005-03-21,426.1091,429.0992,417.1383,418.297,5688158,432.58405273427036,424.20276,415.82146726572967,6.163476630953312,8.12069332889005,-1.9572166979367385,0.7589840400728131,48.821165950877095,16.922586805475675,15.961561638653246,1.060208718205565,-0.05191646127034155
4115,2005-03-22,419.381,419.381,404.4673,407.009,8615830,435.84202658190475,420.3005,404.75897341809525,4.217540895236198,7.34006284215928,-3.122521946923082,0.5745919327845281,42.270784409089394,17.40068147324359,18.42964751311807,0.9441678936538493,-0.02516332562670609
4114,2005-03-23,404.4299,426.3707,403.6076,413.5127,26559212,430.8113480444284,417.25046000000003,403.68957195557164,3.163697901210071,6.504789853969438,-3.341091952759367,0.4863643518444301,46.707416414910405,18.0647639404296,17.46267740638292,1.0344784777291143,-0.040133712942794775
4113,2005-03-24,415.6432,424.5393,415.2695,418.7083,15010568,430.34687993358887,416.97389999999996,403.60092006641105,2.716447716133075,5.747121426402165,-3.03067371026909,0.472662314677008,50.012475821055226,35.81593450798429,23.76045997388579,1.5073754694710544,-0.05972152928422958
4112,2005-03-28,420.8761,428.9498,419.4557,423.9039,7223688,427.65976273995625,416.28617999999994,404.91259726004364,2.749545175504352,5.147606176222602,-2.3980610007182506,0.53414054637762,53.14201766479789,59.23794504856505,37.70621449899294,1.5710393057395666,-0.05607992754961688
4111,2005-03-29,425.3616,425.3616,408.5788,410.3729,9006125,426.7034662002408,414.7013599999999,402.699253799759,1.6647463738664214,4.451034215751366,-2.7862878418849446,0.3740133850185199,45.204578202291614,55.18443135170204,50.07943696941709,1.1019379348334628,-0.01557510254697625
