,timestamp,open,high,low,close,volume
4252,2005-01-03,488.4315,501.1275,487.713,498.3485,6639097
4251,2005-01-04,499.5465,504.002,496.3845,498.061,3195182
4250,2005-01-05,493.462,498.253,455.135,482.5865,8983091
4249,2005-01-06,483.88,488.192,470.6575,474.538,8203064
4248,2005-01-07,472.382,477.077,466.633,472.6215,3401814
4247,2005-01-10,474.8255,475.1605,451.302,455.2305,3252619
4246,2005-01-11,464.7165,465.675,456.189,460.74,4353557
4245,2005-01-12,461.363,472.478,451.398,454.416,4749235
4244,2005-01-13,457.099,471.424,457.099,467.687,3403765
4243,2005-01-14,470.4655,472.382,457.3865,463.2315,2643829
4242,2005-01-17,461.842,466.633,447.9485,455.8055,4126340
4241,2005-01-18,456.093,458.4885,446.607,448.5715,5639090
4240,2005-01-19,448.9065,455.087,439.373,441.864,3629945
4239,2005-01-20,439.6125,457.3385,436.067,452.883,5800735
4238,2005-01-24,452.2605,454.1765,441.0015,443.6845,2168808
4237,2005-01-25,444.6905,461.267,438.5585,458.584,3138971
4236,2005-01-27,458.0095,464.7165,458.0095,460.692,3073822
4235,2005-01-28,461.842,472.382,460.165,471.5675,4317797
4234,2005-01-31,478.9935,486.659,473.2445,483.6405,6820018
4233,2005-02-01,485.7965,486.084,470.4655,472.5255,9430696
4232,2005-02-02,475.4005,476.694,463.327,465.3875,3976279
4231,2005-02-03,466.537,474.49,464.7165,472.5735,4703528
4230,2005-02-04,476.2145,478.9935,467.591,469.699,4957270
4229,2005-02-07,469.4115,474.011,465.675,471.7115,6561142
4228,2005-02-08,473.436,476.2145,468.741,471.6155,4768485
4227,2005-02-09,476.2145,480.6705,470.6575,479.0415,4374722
4226,2005-02-10,480.0475,484.6465,474.2985,479.185,5272859
4225,2005-02-11,479.0895,484.1675,476.119,482.7785,3079050
4224,2005-02-14,483.976,490.827,483.976,486.3715,3392405
4223,2005-02-15,486.7545,486.8505,477.748,485.461,5005158
4222,2005-02-16,487.713,488.575,468.118,471.232,4268036
4221,2005-02-17,469.5075,471.855,463.854,468.118,3866346
