,timestamp,open,high,low,close,volume
4267,2005-01-03,1349.8,1358.0,1338.25,1353.2,1185200
4266,2005-01-04,1350.75,1356.0,1334.0,1340.35,1312656
4265,2005-01-05,1330.0,1338.1,1281.0,1324.8,3669696
4264,2005-01-06,1327.0,1345.0,1292.15,1319.9,3441640
4263,2005-01-07,1330.0,1344.7,1311.1,1339.4,2627176
4262,2005-01-10,1350.0,1361.0,1321.5,1328.5,2442576
4261,2005-01-11,1332.0,1337.8,1300.0,1313.55,3072184
4260,2005-01-12,1330.0,1367.8,1287.25,1297.2,7859264
4259,2005-01-13,1329.0,1335.0,1272.1,1293.05,13729432
4258,2005-01-14,1305.0,1318.0,1278.95,1296.95,6646864
4257,2005-01-17,1305.05,1318.8,1241.35,1261.3,5748408
4256,2005-01-18,1274.0,1285.0,1258.0,1263.55,2838616
4255,2005-01-19,1270.0,1273.0,1251.25,1254.7,1830872
4254,2005-01-20,1255.0,1260.0,1230.0,1241.5,2383312
4253,2005-01-24,1245.0,1249.0,1215.0,1219.6,2069208
4252,2005-01-25,1216.0,1238.0,1205.0,1234.7,1968368
4251,2005-01-27,1240.0,1253.0,1236.0,1239.5,1682024
4250,2005-01-28,1245.0,1295.0,1244.0,1289.8,2935592
4249,2005-01-31,1294.95,1312.0,1291.0,1300.65,2620200
4248,2005-02-01,1305.0,1321.0,1288.0,1315.9,4152952
4247,2005-02-02,1317.0,1323.0,1301.25,1305.65,2140728
4246,2005-02-03,1309.0,1314.0,1301.2,1309.65,1440992
4245,2005-02-04,1310.0,1321.85,1302.0,1306.55,834168
4244,2005-02-07,1315.0,1328.0,1301.0,1311.1,1431688
4243,2005-02-08,1312.0,1323.2,1307.1,1319.7,1210352
4242,2005-02-09,1322.25,1343.5,1320.0,1332.4,2184392
4241,2005-02-10,1330.1,1343.25,1320.9,1333.4,1345040
4240,2005-02-11,1345.1,1385.0,1345.1,1381.85,3679064
4239,2005-02-14,1400.0,1420.0,1391.0,1407.2,2750184
4238,2005-02-15,1412.0,1412.0,1373.25,1381.75,1409680
4237,2005-02-16,1390.0,1395.9,1362.0,1368.0,1504504
4236,2005-02-17,1373.0,1384.9,1358.0,1381.0,1933704
4235,2005-02-18,1381.0,1391.5,1360.0,1373.3,1006952
4234,2005-02-21,1370.0,1374.7,1361.7,1365.85,501624
4233,2005-02-22,1368.0,1368.0,1351.1,1363.0,913656
4232,2005-02-23,1365.0,1382.0,1355.15,1376.7,1550864
4231,2005-02-24,1380.0,1397.45,1363.0,1370.15,3360776
4230,2005-02-25,1379.7,1381.8,1353.0,1364.3,1925512
4229,2005-02-28,1365.0,1384.25,1339.1,1380.9,2737848
4228,2005-03-01,1378.0,1385.0,1351.1,1355.8,2026680
4227,2005-03-02,1359.0,1371.8,1359.0,1367.8,693376
4226,2005-03-03,1370.0,1395.0,1364.0,1387.8,981016
4225,2005-03-04,1396.3,1402.0,1383.55,1391.15,1390408
4224,2005-03-07,1397.5,1408.0,1395.0,1400.9,1422624
4223,2005-03-08,1400.0,1421.0,1395.6,1414.95,1695912
4222,2005-03-09,1410.0,1426.8,1395.6,1408.6,2019624
4221,2005-03-10,1402.0,1411.0,1395.15,1405.45,944840
4220,2005-03-11,1409.0,1435.0,1406.0,1428.85,1562816
4219,2005-03-14,1440.0,1462.0,1420.05,1452.3,2008952
4218,2005-03-15,1455.0,1458.0,1435.0,1438.3,1448920
4217,2005-03-16,1440.0,1465.0,1440.0,1451.65,1416680
4216,2005-03-17,1445.0,1474.0,1410.25,1463.15,2336608
4215,2005-03-18,1459.7,1470.05,1427.15,1468.1,1985600
4214,2005-03-21,1471.0,1475.0,1443.0,1452.2,1549280
